s, 0, 0, 0, x, x, 0, 0, 0, x, x, x, x, 0, 0, x, 0, 0, x, x, 0, 0, 0, 0, 0, 0, 0, x, 0, 0, x, x, x, x, 0, x, x, 0, x, 0, 0, 0, 0, 0, x, 0, 0, x, 0, 0
0, 0, 0, 0, 0, 0, x, x, 0, x, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, x, 0, x, x, 0, 0, 0, 0, x, x, 0, 0, x, x, 0, 0, 0, 0, 0, x, 0, 0, x, 0, 0
x, 0, 0, x, x, 0, 0, 0, 0, 0, 0, 0, x, x, 0, 0, 0, x, 0, 0, 0, 0, 0, 0, 0, 0, 0, x, x, 0, 0, 0, 0, 0, x, 0, 0, 0, x, x, x, 0, 0, 0, x, 0, 0, 0, x, 0
0, 0, x, x, x, 0, x, 0, 0, x, 0, x, 0, 0, x, x, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, x, 0, x, x, 0, 0, 0, x, 0, 0, x, 0, 0, 0, 0, x, x, 0, 0, 0
0, x, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, x, x, x, 0, 0, 0, x, 0, 0, 0, 0, 0, 0, x, 0, 0, x, 0, 0, 0, 0, 0, x, 0, x, x, 0, x, 0
x, x, 0, x, x, x, x, 0, 0, 0, 0, x, 0, x, x, 0, x, 0, 0, 0, x, x, x, x, x, x, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, x, 0, 0, 0, x, x, 0, 0, 0, 0, x, 0, 0
0, 0, 0, x, 0, 0, 0, 0, 0, x, 0, 0, 0, 0, 0, 0, 0, 0, x, x, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, x, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, x, 0, 0, 0, 0, 0, 0, 0, 0, x, 0, x, 0, x, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, x, x, 0, 0, 0, x, 0, 0, 0, x, 0, 0, 0, 0, 0, x, 0, 0, 0, 0, 0, x, 0, 0
0, x, x, 0, 0, 0, x, 0, x, 0, 0, 0, 0, x, 0, 0, x, x, 0, 0, 0, 0, 0, 0, x, x, 0, 0, 0, 0, x, 0, 0, 0, 0, x, 0, x, 0, 0, 0, 0, 0, 0, x, 0, 0, 0, x, 0
0, x, x, x, 0, 0, 0, 0, 0, 0, x, x, x, x, x, x, x, 0, 0, 0, 0, 0, 0, x, 0, 0, 0, 0, 0, 0, 0, x, x, 0, 0, 0, x, 0, x, 0, 0, 0, 0, 0, 0, 0, x, 0, x, x
x, 0, x, 0, x, 0, x, 0, 0, 0, 0, x, x, 0, x, 0, 0, 0, x, 0, x, 0, 0, 0, 0, 0, 0, 0, x, 0, x, 0, 0, x, 0, 0, 0, 0, 0, 0, 0, 0, 0, x, 0, x, 0, x, 0, 0
0, 0, x, x, 0, 0, 0, 0, 0, x, 0, x, 0, 0, 0, 0, 0, 0, 0, x, 0, 0, x, 0, 0, 0, x, 0, 0, 0, 0, 0, x, x, x, 0, 0, 0, x, x, 0, 0, x, 0, x, x, 0, 0, 0, 0
0, 0, 0, 0, 0, x, 0, 0, 0, 0, 0, 0, x, 0, 0, 0, 0, 0, x, 0, x, 0, x, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, x, x, x, 0, 0, 0, 0, 0, 0, 0, 0, x, 0, 0, 0, 0, x
0, 0, 0, 0, x, 0, x, 0, 0, 0, x, x, 0, x, 0, 0, x, 0, x, x, x, 0, 0, 0, 0, x, x, 0, x, 0, x, 0, 0, 0, 0, x, 0, 0, x, x, 0, x, 0, 0, 0, x, 0, x, x, 0
0, 0, 0, 0, 0, x, 0, 0, x, x, x, 0, x, 0, 0, 0, 0, 0, 0, x, 0, 0, 0, 0, 0, 0, 0, 0, x, 0, x, x, 0, x, 0, 0, x, 0, 0, 0, x, x, 0, 0, 0, 0, x, x, 0, 0
x, x, x, 0, 0, 0, 0, x, 0, 0, 0, 0, 0, 0, 0, x, x, 0, 0, 0, 0, 0, 0, 0, 0, x, x, 0, x, 0, 0, 0, 0, 0, 0, x, x, 0, x, 0, 0, x, 0, 0, 0, 0, x, 0, 0, x
0, 0, 0, 0, 0, 0, x, 0, 0, x, x, 0, 0, x, 0, 0, x, 0, 0, x, x, 0, 0, 0, x, 0, 0, 0, 0, 0, 0, 0, x, 0, x, 0, 0, x, x, x, 0, 0, x, 0, x, 0, 0, 0, x, 0
0, 0, x, x, 0, 0, 0, 0, 0, 0, 0, 0, 0, x, 0, 0, 0, 0, 0, x, 0, 0, 0, 0, x, 0, x, 0, 0, x, 0, 0, 0, 0, 0, 0, 0, 0, x, 0, 0, 0, x, 0, 0, 0, 0, x, 0, x
0, x, 0, x, x, x, 0, x, 0, 0, 0, 0, 0, x, 0, 0, x, x, 0, 0, 0, 0, 0, 0, x, x, 0, 0, 0, 0, x, 0, 0, x, 0, 0, 0, 0, 0, 0, 0, x, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, x, 0, 0, 0, x, x, 0, 0, 0, 0, 0, 0, 0, x, 0, 0, 0, x, 0, 0, x, 0, 0, x, 0, 0, x, x, 0, 0, 0, 0, 0, 0, x, x, 0, 0, x, 0, 0, 0, x, 0, 0, 0, 0
0, 0, 0, 0, x, x, x, x, 0, 0, 0, x, 0, 0, 0, x, x, 0, 0, 0, x, 0, 0, x, x, 0, 0, 0, 0, 0, 0, 0, 0, x, 0, 0, 0, 0, 0, 0, x, 0, 0, 0, 0, 0, 0, 0, 0, x
0, 0, x, 0, x, 0, 0, 0, 0, 0, 0, 0, x, 0, 0, 0, 0, 0, x, 0, x, 0, 0, x, x, 0, x, x, 0, 0, 0, 0, x, 0, 0, 0, 0, 0, x, x, 0, x, 0, x, x, 0, 0, 0, x, 0
x, x, x, 0, 0, x, x, 0, 0, 0, 0, 0, 0, 0, 0, x, 0, 0, 0, 0, x, 0, 0, 0, 0, 0, x, 0, x, 0, x, 0, 0, x, 0, 0, 0, 0, 0, 0, 0, 0, 0, x, x, 0, 0, x, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, x, 0, 0, x, x, 0, 0, 0, 0, 0, x, 0, 0, 0, x, x, 0, 0, x, x, 0, x, 0, 0, x, 0, x, 0, 0, 0, x, 0, 0, 0, x, x, x, 0, x, 0
0, x, 0, x, x, 0, 0, x, 0, x, 0, 0, 0, 0, x, x, x, 0, x, x, x, 0, 0, x, 0, 0, x, x, x, x, x, x, 0, x, 0, 0, 0, 0, 0, 0, 0, 0, 0, x, x, 0, 0, x, 0, x
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, x, x, x, 0, 0, x, x, 0, 0, 0, 0, x, 0, x, x, 0, x, 0, 0, x, 0, 0, 0, 0, 0, x, x, x, x, 0, x, 0, x, 0, 0, x, x, 0, x, 0
0, 0, 0, x, 0, 0, x, 0, 0, 0, 0, 0, 0, 0, 0, x, 0, 0, 0, 0, x, x, 0, 0, 0, 0, x, 0, 0, 0, 0, 0, 0, 0, x, 0, x, 0, x, 0, x, 0, 0, x, 0, x, 0, 0, x, 0
x, 0, 0, x, 0, 0, x, 0, 0, 0, 0, 0, x, 0, 0, x, x, x, x, 0, 0, x, 0, 0, 0, x, x, 0, 0, 0, 0, x, x, x, x, 0, 0, 0, 0, 0, 0, x, x, 0, 0, 0, x, 0, 0, 0
0, 0, x, 0, 0, x, 0, 0, 0, x, 0, 0, 0, x, 0, x, 0, 0, x, 0, x, x, 0, x, 0, 0, 0, x, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, x, x, 0, 0, 0, x
0, x, 0, 0, 0, x, 0, x, 0, 0, x, x, 0, 0, 0, 0, 0, 0, 0, x, 0, 0, 0, x, 0, 0, 0, 0, x, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, x, 0, 0, 0, 0, x, 0, 0, 0, x
0, x, 0, 0, 0, 0, 0, 0, 0, 0, x, 0, x, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, x, 0, 0, 0, 0, 0, x, 0, 0, 0, 0, x, 0, 0, x, 0, 0, 0, x, 0, 0
x, x, 0, 0, 0, 0, x, 0, x, x, 0, x, x, x, 0, 0, 0, x, 0, 0, x, 0, 0, 0, 0, 0, x, x, x, x, 0, 0, x, 0, 0, 0, 0, 0, 0, 0, 0, 0, x, 0, x, 0, 0, 0, x, 0
0, x, 0, x, x, 0, 0, 0, x, x, 0, x, 0, 0, 0, x, 0, 0, x, 0, 0, x, x, 0, 0, 0, 0, 0, 0, 0, 0, x, x, 0, 0, x, 0, x, 0, 0, 0, x, 0, x, 0, 0, x, x, 0, 0
